,price,type,company
0,1790,tshirt,levis
1,1790,tshirt,levis
2,1790,tshirt,levis
3,1790,tshirt,levis
4,1790,tshirt,levis
5,1790,tshirt,levis
6,1590,tshirt,levis
7,1790,tshirt,levis
8,1590,tshirt,levis
9,1590,tshirt,levis
10,1790,tshirt,levis
11,1980,tshirt,levis
12,1980,tshirt,levis
13,1390,tshirt,levis
14,1980,tshirt,levis
15,1980,tshirt,levis
16,1790,tshirt,levis
17,1590,tshirt,levis
18,1980,tshirt,levis
19,1980,tshirt,levis
20,1980,tshirt,levis
21,2290,tshirt,levis
22,1790,tshirt,levis
23,1590,tshirt,levis
24,1390,tshirt,levis
25,1790,tshirt,levis
26,2290,tshirt,levis
27,1590,tshirt,levis
28,1790,tshirt,levis
29,1790,tshirt,levis
30,1790,tshirt,levis
31,1790,tshirt,levis
32,3790,pant,levis
33,3790,pant,levis
34,3980,pant,levis
35,3790,pant,levis
36,2990,pant,levis
37,3290,pant,levis
38,3790,pant,levis
39,3490,pant,levis
40,4590,pant,levis
41,3790,pant,levis
42,3980,pant,levis
43,4290,pant,levis
44,3490,pant,levis
45,4590,pant,levis
46,4590,pant,levis
47,3490,pant,levis
48,3980,pant,levis
49,3980,pant,levis
50,3980,pant,levis
51,4590,pant,levis
52,3790,pant,levis
53,3790,pant,levis
54,3980,pant,levis
55,4290,pant,levis
56,3790,pant,levis
57,4290,pant,levis
58,4590,pant,levis
59,3980,pant,levis
60,3490,pant,levis
61,2390,pant,levis
62,3790,pant,levis
63,4590,pant,levis
64,2990,pant,levis
65,3290,pant,levis
66,4790,pant,levis
67,3790,pant,levis
68,3490,pant,levis
69,3790,pant,levis
70,3490,pant,levis
71,3290,pant,levis
72,3290,pant,levis
73,3980,pant,levis
74,4980,pant,levis
75,3790,pant,levis
76,4590,pant,levis
77,3980,pant,levis
78,3980,pant,levis
79,3490,pant,levis
80,3790,pant,levis
81,3790,pant,levis
82,4980,pant,levis
83,3790,pant,levis
84,5490,pant,levis
85,4980,pant,levis
86,4590,pant,levis
87,3980,pant,levis
88,3690,pant,levis
89,2990,pant,levis
90,3790,pant,levis
91,3980,pant,levis
92,4980,pant,levis
93,3980,pant,levis
